id,name,domain,domainName,unit,dimType,breakdown,years,values,latestYear,latestValue,isDisaggregated
ind-tb,Tuberculosis incidence rate (per 100 000 population),D3_communicable,D3 Communicable Diseases,rate_per_100k,TOTAL,Total,2012; 2014; 2016; 2018; 2019; 2020; 2021; 2022; 2023,382; 368; 355; 342; 338; 345; 362; 370; 375,2023,375,false
ind-malaria,Malaria incidence (per 1 000 population at risk),D3_communicable,D3 Communicable Diseases,rate_per_1000,TOTAL,Total,2012; 2014; 2016; 2018; 2019; 2020; 2021; 2022; 2023,12; 7.8; 4.5; 2.1; 1.4; 2.8; 5.9; 9.8; 12.1,2023,12.1,false
ind-dtp3,DTP3 immunization coverage among 1-year-olds (%),D6_reproductive,D6 Reproductive & Child Health,percentage,TOTAL,Total,2012; 2014; 2016; 2018; 2019; 2020; 2021; 2022; 2023,86; 88; 89; 91; 91; 81; 45; 45; 51,2023,51,false
ind-mcv1,Measles-containing-vaccine first-dose (MCV1) coverage (%),D6_reproductive,D6 Reproductive & Child Health,percentage,TOTAL,Total,2012; 2014; 2016; 2018; 2019; 2020; 2021; 2022; 2023,87; 89; 90; 92; 92; 82; 44; 46; 52,2023,52,false
ind-u5m,Under-five mortality rate (probability of dying per 1 000 live births),D1_mortality,D1 Mortality & Life Expectancy,rate_per_1000,TOTAL,Total,2012; 2014; 2016; 2018; 2019; 2020; 2021; 2022; 2023,54; 50.2; 47.1; 44.5; 43.2; 44.6; 46.2; 47.1; 47.8,2023,47.8,false
ind-u5m-f,Under-five mortality rate (probability of dying per 1 000 live births),D1_mortality,D1 Mortality & Life Expectancy,rate_per_1000,SEX,Female,2012; 2014; 2016; 2018; 2019; 2020; 2021; 2022; 2023,49.2; 45.8; 42.9; 40.4; 39.1; 40.5; 42.1; 42.9; 43.5,2023,43.5,true
ind-u5m-m,Under-five mortality rate (probability of dying per 1 000 live births),D1_mortality,D1 Mortality & Life Expectancy,rate_per_1000,SEX,Male,2012; 2014; 2016; 2018; 2019; 2020; 2021; 2022; 2023,58.5; 54.4; 51.1; 48.3; 47.1; 48.5; 50.1; 51.1; 51.9,2023,51.9,true
ind-anaemia-f,Number of women of reproductive age (15-49 years) with anaemia (thousands),D10_nutrition,D10 Nutrition & Malnutrition,count_thousands,SEX,Female,2015; 2017; 2018; 2019; 2020; 2021; 2022; 2023,780; 792; 804; 812; 825; 839; 854; 868,2023,868,true
ind-life-expectancy,Life expectancy at birth (years),D1_mortality,D1 Mortality & Life Expectancy,years,TOTAL,Total,2012; 2014; 2016; 2018; 2019; 2020; 2021; 2022; 2023,65.2; 65.8; 66.4; 66.9; 67.1; 66.8; 66.1; 65.9; 65.8,2023,65.8,false
ind-hiv-incidence,New HIV infections (per 1 000 uninfected population),D3_communicable,D3 Communicable Diseases,rate_per_1000,TOTAL,Total,2012; 2014; 2016; 2018; 2020; 2021; 2022; 2023,0.38; 0.32; 0.28; 0.24; 0.22; 0.21; 0.2; 0.19,2023,0.19,false
ind-stunting,Prevalence of stunting among children under 5 years of age (%),D10_nutrition,D10 Nutrition & Malnutrition,percentage,TOTAL,Total,2012; 2014; 2016; 2018; 2020; 2021; 2022; 2023,33.2; 31; 29.2; 27.8; 26.5; 25.9; 25.5; 25.2,2023,25.2,false
ind-suicide,Suicide mortality rate (per 100 000 population),D5_mental,D5 Mental Health & Substance Abuse,rate_per_100k,TOTAL,Total,2012; 2014; 2016; 2018; 2020; 2021; 2022; 2023,4.4; 4.1; 3.8; 3.4; 3.1; 3; 2.9; 2.9,2023,2.9,false
ind-mmr,Maternal mortality ratio (per 100 000 live births),D6_reproductive,D6 Reproductive & Child Health,rate_per_100k,TOTAL,Total,2012; 2014; 2016; 2018; 2019; 2020; 2021; 2022; 2023,215; 202; 192; 183; 179; 184; 191; 195; 198,2023,198,false
ind-uhc,UHC Service Coverage Index (SDG 3.8.1),D8_health_systems,D8 Health Systems & UHC,index_score,TOTAL,Total,2010; 2013; 2015; 2017; 2019; 2020; 2021; 2022; 2023,48; 54; 59; 64; 67; 63; 56; 57; 58,2023,58,false
