GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-technical-specifications-of-medical-devices-to-support-procurement-or-donations,2010,2010,2010,SEAR,South-East Asia,MMR,Myanmar,,,,0,Yes but not publically available,,
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2007,2007,2007,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0,0 [0 - 0.31],0,0.31046848
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,1990,1990,1990,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,0.1,0.1 [0 - 2.7],0,2.7
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2006,2006,2006,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,4.44614,4.4,,
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-diabetes-treatment-age-standardized,1994,1994,1994,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,6.5361351,6.5 [3.3-11.1],3.2820482,11.077887
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,14.08496983,14.1 [10.4-19.2],10.4428341,19.17638219
TOBACCO_MPOWER_R_TAX,Tobacco Raise taxes: National taxes for tobacco and nicotine products,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-raise-taxes--national-taxes-for-and-nicotine-products,2024,2024,2024,SEAR,South-East Asia,MMR,Myanmar,TOBACCO_INDICATOR,TOBACCO_INDICATOR_TAX_TOTALTAX,Taxes as a % of price: total tax,,. . .,,
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-insufficient-physical-activity-among-adults-aged-18-years-%28age-standardized-estimate%29-%28-%29,2020,2020,2020,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_MLE,Male,19.835592,19.8 [10.0-33.0],9.9832296,33.001373
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2001,2001,2001,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,10.20109,10.2,,
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-%28per-1000-women-aged-15-19-years%29,2005,2005,2005,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,42.34524918,42.3,,
AIR_60,Household and ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys,2015,2015,2015,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,378665.937,378 666 [296 472-455 863],296472.393,455862.525
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-reproductive-maternal-newborn-and-child-health,2016,2016,2016,SEAR,South-East Asia,MMR,Myanmar,,,,68,68,,
NCD_BMI_MINUS2C,"Thinness among children and adolescents, BMI-for-age < -2 standard deviations below the median (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2003,2003,2003,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,12.701531,12.7 [7.3-19.4],7.3398493,19.398996
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-phe-population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-proportion,1991,1991,1991,SEAR,South-East Asia,MMR,Myanmar,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,100,100 [94.3 - 100],94.3,100
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2011,2011,2011,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_BTSX,Both sexes,13264,13 264 [10 784-15 979],10784,15979
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2008,2008,2008,SEAR,South-East Asia,MMR,Myanmar,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0,0,,
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,2004,2004,2004,SEAR,South-East Asia,MMR,Myanmar,SEX,SEX_FMLE,Female,5127,5127 [3799-6649],3799,6649
